date,open,close,high,low,volume,money,change,adjclose,symbol
2009-12-31,4337.55,4391.28,4392.86,4334.14,19574831.0,22841831768.0,1.35,4391.28,sh000852
2010-01-04,4413.75,4406.77,4436.06,4393.5,23533327.0,26850010562.0,0.97,4406.77,sh000852
2010-01-05,4411.28,4462.23,4462.23,4378.1,26467952.0,30379011115.0,1.91,4462.23,sh000852
2010-01-06,4459.85,4452.87,4499.51,4445.5,28617067.0,31692042146.0,1.21,4452.87,sh000852
2010-01-07,4440.11,4361.16,4452.18,4345.05,28255441.0,30615696093.0,2.41,4361.16,sh000852
2010-01-08,4335.78,4417.77,4417.79,4323.46,22353872.0,24352036479.0,2.16,4417.77,sh000852
2010-01-11,4445.6,4449.94,4450.02,4398.06,26684597.0,29877476198.0,1.18,4449.94,sh000852
2010-01-12,4440.99,4541.6,4541.6,4435.91,30220964.0,34346652147.0,2.38,4541.6,sh000852
2010-01-13,4447.51,4485.32,4545.42,4430.01,29812304.0,33651449313.0,2.54,4485.32,sh000852
2010-01-14,4494.06,4609.3,4609.3,4494.06,32785953.0,37583039098.0,2.57,4609.3,sh000852
2010-01-15,4617.9,4658.09,4658.09,4617.86,31794609.0,37391289562.0,0.87,4658.09,sh000852
2010-01-18,4653.55,4734.05,4734.05,4644.25,30990289.0,37259981053.0,1.93,4734.05,sh000852
2010-01-19,4736.71,4740.45,4758.18,4695.72,31494201.0,37755908834.0,1.32,4740.45,sh000852
2010-01-20,4742.51,4586.75,4744.69,4572.72,38658477.0,44841808738.0,3.63,4586.75,sh000852
2010-01-21,4586.21,4606.43,4632.24,4545.29,26609595.0,29819639963.0,1.9,4606.43,sh000852
2010-01-22,4553.78,4471.28,4560.12,4390.85,27096635.0,30039257815.0,3.67,4471.28,sh000852
2010-01-25,4439.89,4407.04,4478.3,4404.22,17491933.0,19626740904.0,1.66,4407.04,sh000852
2010-01-26,4406.44,4226.94,4429.23,4186.37,19967021.0,21551563663.0,5.51,4226.94,sh000852
2010-01-27,4219.65,4194.63,4270.9,4171.26,15747504.0,17151082548.0,2.36,4194.63,sh000852
2010-01-28,4188.83,4248.04,4252.35,4171.81,14630828.0,16070093102.0,1.92,4248.04,sh000852
2010-01-29,4227.87,4290.32,4328.53,4212.45,18836346.0,21186161315.0,2.73,4290.32,sh000852
2010-02-01,4284.35,4239.99,4287.38,4182.13,18658280.0,20554891741.0,2.45,4239.99,sh000852
2010-02-02,4248.43,4225.47,4304.08,4222.17,18778930.0,20379240155.0,1.93,4225.47,sh000852
2010-02-03,4227.26,4304.84,4304.84,4097.35,22930072.0,24240296969.0,4.91,4304.84,sh000852
2010-02-04,4283.9,4364.23,4394.57,4262.71,25757781.0,27763147525.0,3.06,4364.23,sh000852
2010-02-05,4272.24,4281.78,4341.2,4243.41,28437403.0,30497313186.0,2.24,4281.78,sh000852
2010-02-08,4272.28,4278.58,4300.57,4253.32,18382477.0,19556730032.0,1.1,4278.58,sh000852
2010-02-09,4264.27,4277.33,4299.84,4245.52,15470376.0,16222190799.0,1.27,4277.33,sh000852
2010-02-10,4294.83,4330.42,4330.42,4282.9,13699352.0,14929988976.0,1.11,4330.42,sh000852
2010-02-11,4329.63,4307.13,4337.32,4304.24,13416423.0,14257265676.0,0.76,4307.13,sh000852
2010-02-12,4311.89,4366.28,4368.53,4311.89,13759792.0,15378944678.0,1.32,4366.28,sh000852
2010-02-22,4362.93,4392.69,4422.33,4355.04,18755465.0,20230675985.0,1.54,4392.69,sh000852
2010-02-23,4389.42,4464.23,4464.23,4353.05,24387302.0,26174091175.0,2.53,4464.23,sh000852
2010-02-24,4443.03,4559.66,4559.66,4425.66,29169644.0,31881271341.0,3.0,4559.66,sh000852
2010-02-25,4566.04,4645.06,4645.83,4563.95,34747183.0,38616175717.0,1.8,4645.06,sh000852
2010-02-26,4632.31,4653.34,4676.42,4616.13,32808135.0,36932233526.0,1.3,4653.34,sh000852
2010-03-01,4656.98,4721.89,4727.43,4656.98,35248880.0,39496716087.0,1.51,4721.89,sh000852
2010-03-02,4721.26,4724.64,4736.49,4684.11,34657843.0,39066672168.0,1.11,4724.64,sh000852
2010-03-03,4716.52,4788.5,4790.08,4710.67,34517448.0,38987659237.0,1.68,4788.5,sh000852
2010-03-04,4788.59,4617.85,4812.36,4599.47,36855640.0,42118279800.0,4.45,4617.85,sh000852
2010-03-05,4613.45,4617.36,4650.44,4563.11,23542352.0,26333242038.0,1.89,4617.36,sh000852
2010-03-08,4625.93,4676.44,4685.49,4624.21,21011671.0,23581432674.0,1.33,4676.44,sh000852
2010-03-09,4671.06,4682.25,4697.4,4625.14,24149333.0,26454749316.0,1.55,4682.25,sh000852
2010-03-10,4675.99,4630.01,4696.87,4593.55,23171809.0,25991103838.0,2.21,4630.01,sh000852
2010-03-11,4624.9,4605.25,4643.78,4560.09,20235753.0,22893215759.0,1.81,4605.25,sh000852
2010-03-12,4603.95,4532.08,4613.17,4526.87,18599438.0,21060356184.0,1.87,4532.08,sh000852
2010-03-15,4523.61,4498.09,4530.22,4468.32,15324122.0,17332256947.0,1.37,4498.09,sh000852
2010-03-16,4494.44,4555.31,4555.31,4487.26,16042872.0,18166444731.0,1.51,4555.31,sh000852
2010-03-17,4566.41,4674.64,4674.64,4562.89,23557346.0,27081316833.0,2.45,4674.64,sh000852
2010-03-18,4680.97,4686.25,4702.18,4661.87,23401174.0,27391968049.0,0.86,4686.25,sh000852
2010-03-19,4685.39,4723.85,4726.74,4675.29,24598942.0,28209586403.0,1.1,4723.85,sh000852
2010-03-22,4727.62,4766.94,4767.16,4717.6,26611457.0,29907294596.0,1.05,4766.94,sh000852
2010-03-23,4764.46,4739.37,4772.88,4722.23,25726721.0,29356832005.0,1.06,4739.37,sh000852
2010-03-24,4740.85,4750.99,4764.17,4734.84,26037783.0,29588209886.0,0.62,4750.99,sh000852
2010-03-25,4738.48,4678.81,4738.48,4673.92,25576855.0,28816775831.0,1.36,4678.81,sh000852
2010-03-26,4671.04,4742.47,4745.96,4667.11,22040026.0,25596563397.0,1.69,4742.47,sh000852
2010-03-29,4754.34,4770.54,4776.45,4730.68,23794925.0,28475290720.0,0.97,4770.54,sh000852
2010-03-30,4768.34,4800.45,4804.22,4757.41,23150003.0,27563394273.0,0.98,4800.45,sh000852
2010-03-31,4796.98,4822.08,4822.08,4785.14,26453051.0,30938596281.0,0.77,4822.08,sh000852
2010-04-01,4825.02,4904.3,4904.3,4825.02,33234781.0,38970977839.0,1.64,4904.3,sh000852
2010-04-02,4905.15,4922.82,4924.71,4890.6,30192645.0,35293547149.0,0.7,4922.82,sh000852
2010-04-06,4934.54,4942.33,4946.53,4904.43,28887721.0,33669973036.0,0.86,4942.33,sh000852
2010-04-07,4934.03,4951.73,4951.73,4910.69,25147351.0,30881360644.0,0.83,4951.73,sh000852
2010-04-08,4943.46,4956.37,4973.17,4934.42,28810981.0,35166066510.0,0.78,4956.37,sh000852
2010-04-09,4956.02,5031.25,5031.25,4956.02,28687494.0,35118135537.0,1.52,5031.25,sh000852
2010-04-12,5042.4,5088.29,5088.29,5042.32,37388723.0,45953172179.0,0.91,5088.29,sh000852
2010-04-13,5085.98,4989.39,5096.26,4863.93,37330979.0,45764966392.0,4.57,4989.39,sh000852
2010-04-14,4979.61,5074.68,5074.68,4967.58,29512031.0,35736386045.0,2.15,5074.68,sh000852
2010-04-15,5072.44,5024.77,5083.15,4982.38,29919563.0,36013654939.0,1.99,5024.77,sh000852
2010-04-16,5003.3,5019.35,5060.51,4968.61,22644312.0,27546636988.0,1.83,5019.35,sh000852
2010-04-19,4970.82,4806.11,5001.17,4805.14,28991826.0,34263338000.0,3.91,4806.11,sh000852
2010-04-20,4797.43,4875.09,4875.36,4721.83,25616413.0,30085437859.0,3.19,4875.09,sh000852
2010-04-21,4875.59,5029.03,5029.83,4875.59,30961711.0,38311002550.0,3.16,5029.03,sh000852
2010-04-22,5014.71,5060.75,5101.7,4983.89,31925137.0,39621607203.0,2.34,5060.75,sh000852
2010-04-23,5047.73,5007.6,5092.53,4985.3,28868502.0,35897349429.0,2.12,5007.6,sh000852
2010-04-26,5010.75,4999.06,5027.58,4975.97,23916181.0,29822466317.0,1.03,4999.06,sh000852
2010-04-27,4980.26,4869.61,4980.26,4775.24,25950078.0,30612910770.0,4.1,4869.61,sh000852
2010-04-28,4797.18,4834.79,4888.72,4776.87,21062891.0,25659191911.0,2.3,4834.79,sh000852
2010-04-29,4840.27,4686.94,4872.15,4686.54,24663377.0,28935819489.0,3.84,4686.94,sh000852
2010-04-30,4660.72,4527.76,4666.54,4446.61,21206810.0,23695623421.0,4.69,4527.76,sh000852
2010-05-04,4440.05,4520.36,4561.57,4406.26,15726977.0,17576440013.0,3.43,4520.36,sh000852
2010-05-05,4469.48,4662.84,4663.09,4469.48,19549629.0,22238561056.0,4.28,4662.84,sh000852
2010-05-06,4647.98,4533.9,4685.91,4531.56,20821356.0,23518259019.0,3.31,4533.9,sh000852
2010-05-07,4425.17,4453.17,4544.4,4395.61,18961783.0,21520440451.0,3.28,4453.17,sh000852
2010-05-10,4445.12,4367.27,4492.48,4279.21,18760415.0,21254467427.0,4.79,4367.27,sh000852
2010-05-11,4445.28,4239.79,4465.54,4225.82,19276373.0,21274678437.0,5.49,4239.79,sh000852
2010-05-12,4203.75,4134.52,4251.88,4073.1,18362245.0,18626777800.0,4.22,4134.52,sh000852
2010-05-13,4131.42,4236.4,4236.4,4044.52,18333425.0,18238855992.0,4.64,4236.4,sh000852
2010-05-14,4204.46,4257.81,4292.14,4178.97,17333995.0,18452086025.0,2.67,4257.81,sh000852
2010-05-17,4202.32,3981.29,4202.32,3981.2,18239201.0,18108878061.0,5.19,3981.29,sh000852
2010-05-18,3954.47,4007.42,4022.24,3852.67,18538967.0,17987409795.0,4.26,4007.42,sh000852
2010-05-19,3980.12,4007.16,4065.78,3939.08,16088787.0,16059685353.0,3.16,4007.16,sh000852
2010-05-20,3972.05,3918.58,4047.39,3908.76,15450011.0,15070740156.0,3.46,3918.58,sh000852
2010-05-21,3802.06,3993.74,3993.74,3779.69,18864999.0,18348593198.0,5.46,3993.74,sh000852
2010-05-24,4022.89,4179.35,4191.25,4022.89,24403597.0,24939715531.0,4.22,4179.35,sh000852
2010-05-25,4154.3,4169.41,4201.22,4118.44,22546803.0,22664558639.0,1.98,4169.41,sh000852
2010-05-26,4153.68,4182.71,4202.21,4139.92,17051520.0,17581445703.0,1.49,4182.71,sh000852
2010-05-27,4171.49,4264.16,4272.79,4126.04,21016878.0,21697859118.0,3.51,4264.16,sh000852
2010-05-28,4297.02,4281.09,4309.41,4248.63,21107962.0,22351746920.0,1.43,4281.09,sh000852
2010-05-31,4262.43,4149.96,4306.73,4149.96,20266252.0,21304663564.0,3.66,4149.96,sh000852
2010-06-01,4108.79,4061.45,4134.7,3967.33,18219926.0,18455984981.0,4.03,4061.45,sh000852
2010-06-02,4043.22,4129.53,4129.53,4006.13,15105583.0,15348779193.0,3.04,4129.53,sh000852
2010-06-03,4145.08,4098.9,4195.22,4098.05,17740038.0,18810540710.0,2.35,4098.9,sh000852
2010-06-04,4068.77,4133.33,4138.02,4057.52,14137760.0,14977694641.0,1.96,4133.33,sh000852
2010-06-07,4044.27,4119.62,4128.91,4026.96,15374416.0,16544734670.0,2.47,4119.62,sh000852
2010-06-08,4113.05,4180.62,4183.31,4112.36,16968260.0,18731789768.0,1.72,4180.62,sh000852
2010-06-09,4192.7,4288.9,4288.9,4190.33,21829111.0,22673408682.0,2.36,4288.9,sh000852
2010-06-10,4269.69,4297.88,4328.45,4269.69,19855119.0,21099476697.0,1.37,4297.88,sh000852
