start_date,end_date,scale,gru_hidden
2010-05-31,2015-09-07,5,16
2010-07-29,2015-11-09,7,256
2010-09-28,2016-01-05,8,64
2010-11-30,2016-03-08,10,16
2011-01-26,2016-05-05,10,16
2011-03-30,2016-07-04,1,64
2011-05-30,2016-08-29,2,64
2011-07-26,2016-11-02,9,128
2011-09-21,2016-12-28,3,256
2011-11-23,2017-03-02,6,64
2012-01-20,2017-05-02,10,32
2012-03-23,2017-06-29,8,16
2012-05-25,2017-08-24,1,16
2012-07-23,2017-10-26,3,64
2012-09-17,2017-12-21,1,16
2012-11-19,2018-02-23,3,32
2013-01-17,2018-04-24,6,64
2013-03-21,2018-06-22,6,16
2013-05-23,2018-08-17,9,512
2013-07-23,2018-10-22,3,16
2013-09-17,2018-12-17,3,16
2013-11-21,2019-02-20,3,16
2014-01-17,2019-04-18,7,16
2014-03-21,2019-06-19,10,32
2014-05-21,2019-08-14,5,32
2014-07-17,2019-10-17,3,16
2014-09-12,2019-12-12,4,64
2014-11-14,2020-02-17,3,32
2015-01-13,2020-04-14,9,512
2015-03-17,2020-06-12,2,64
2015-05-14,2020-08-11,1,32
2015-07-10,2020-10-14,1,128
2015-09-08,2020-12-09,1,32
2015-11-10,2021-02-04,4,256
2016-01-06,2021-04-09,6,128
2016-03-09,2021-06-09,7,256
2016-05-06,2021-08-05,7,256
2016-07-05,2021-10-11,1,128
2016-08-30,2021-12-06,1,32
2016-11-03,2022-02-08,7,512
2016-12-29,2022-04-07,10,16
2017-03-03,2022-06-08,4,32
2017-05-03,2022-08-03,3,16
2017-06-30,2022-09-29,9,128
2017-08-25,2022-12-01,10,64
2017-10-27,2023-02-03,1,256
2017-12-22,2023-03-20,3,16
